//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MG5
ShortName TEAK74U
//弹药名称(短名)
consumeBulletType 1
bulletsPerReload 3.5
Ammo TEAN94Ammo
//TEMG4Ammo
Icon TEAK74U
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 40
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.0
RandomRecoilRange 1.5
RandomRecoilYawRange 1.5
DecreaseRecoil 1
DecreaseRecoilYaw 10.0
//杀伤力
Damage 9.8
//MeleeDamage 0.1
//4
//这个值越高，子弹时速的越高
Accuracy 6.6
//循环时间
ShootDelay 2
ShootSound TEAK74UShoot
ReloadSound SZ_PDWReload
Mode FullAuto
NumBurstRounds 2
BulletSpeed 11
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEAK74U
Texture TEAK74U_2403
ModelScale 0.45
Description §a[轻型弹药(1)]§7消耗：3.5%_§a武器种类>§7PDW-个人防卫武器
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 0
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 6
//涂装格式“Icon/text”


aimFixedYOffset 0.245
//左右微调
aimSwitchOffset 0
//前后微调
aimFixedOffset 0
//瞄准进度（开机瞄多久后呈现自定义的角度，我一般是步枪0.5比较自然）
aimSwitchProcess 0.5
